19485
-------- Apriori --------
(u'data mining',) 688
(u'data set',) 560
(u'data sets',) 405
(u'data sets', u'data set') 304
(u'training data',) 302
(u'data set', u'data mining') 154
(u'data sets', u'data mining') 122
(u'optimization problem',) 121
(u'data points',) 111
(u'clustering algorithm',) 103
(u'data sets', u'data set', u'data mining') 97
(u'topic model',) 85
(u'proposed method',) 83
(u'synthetic data',) 83
(u'data sources',) 76
(u'training data', u'data set') 76
(u'language model',) 69
(u'labeled data',) 69
(u'training data', u'data mining') 67
(u'linked data',) 66
(u'learning algorithm',) 66
(u'greedy algorithm',) 63
(u'em algorithm',) 61
(u'test data',) 61
(u'model parameters',) 59
(u'web application',) 58
(u'data structure',) 56
(u'pattern mining',) 54
(u'unlabeled data',) 54
(u'data streams',) 53
(u'real data',) 53
(u'training data', u'data sets') 53
(u'data model',) 51
(u'proposed model',) 50
(u'mixture model',) 50
(u'data points', u'data set') 47
(u'web data',) 46
(u'generative model',) 44
(u'proposed approach',) 44
(u'data point',) 44
(u'data points', u'data mining') 44
(u'recommender system',) 43
(u'proposed algorithm',) 43
(u'training data', u'data sets', u'data set') 42
(u'synthetic data', u'data set') 41
(u'data points', u'data sets') 40
(u'probabilistic model',) 38
(u'regression model',) 38
(u'data points', u'data sets', u'data set') 38
(u'relational data',) 37
(u'data analysis',) 37
(u'synthetic data', u'data sets') 37
(u'test data', u'training data') 35
(u'text mining',) 34
(u'synthetic data', u'data sets', u'data set') 34
(u'xml data',) 33
(u'optimization problem', u'data sets') 33
(u'data point', u'data points') 32
(u'synthetic data', u'data mining') 32
(u'data extraction',) 31
(u'log data',) 31
(u'structured data',) 31
(u'data source',) 31
(u'data stream',) 31
(u'multi task',) 31
(u'dimensional data',) 30
(u'pattern mining', u'data mining') 30
(u'unlabeled data', u'labeled data') 30
(u'optimization problem', u'data set') 30
(u'generative process',) 29
(u'graphical model',) 29
(u'data collection',) 29
(u'clustering algorithm', u'data set') 28
(u'linear model',) 27
(u'lda model',) 27
(u'rule mining',) 27
(u'large data',) 27
(u'original data',) 27
(u'real data', u'data set') 26
(u'labeled data', u'training data') 26
(u'rdf data',) 25
(u'meta data',) 25
(u'approximation algorithm',) 25
(u'dirichlet process',) 25
(u'itemset mining',) 25
(u'data source', u'data sources') 25
(u'data records',) 25
(u'click model',) 24
